raw_text,hasil_preprocessing,text_length
"Kenapa? Selalu tunggu harga “terbaik.”

Harga naik, terus rasa “mahal sangat sekarang.” Harga turun, takut pula nanti turun lagi. Akhirnya, bertahun-tahun berlalu… emas tak ada, simpanan pun entah ke mana.",tunggu harga terbaik harga naik mahal harga turun takut turun bertahun tahun emas simpan,14
Pump some confidence in Rupiah imho.,pump some confidence rupiah imho,5
"Harga RON95 tanpa subsidi dan diesel Semenanjung diselaraskan naik bagi tempoh 7–13 Mei 2026 susulan harga global yang kekal tinggi. ⛽️

Harga bersubsidi kekal, dengan kerajaan terus melindungi rakyat dan memastikan bekalan mencukupi. 📊🤝

#RancakkanMADANI
#MADANIBekerja https://t.co/ItjtYQiCRv",harga rontriliunananpa subsidi diesel semenanjung diselaras naik tempoh mei susul harga global kekal harga bersubsid kekal keraja melindung rakyat bekal mencukup rancakkanmadan madanibekerja,23
Selamat pagi semoga rupiah turun ke level 5000 per dollar as hari ini #pray #trust #wni #mimpibasahwni,selamat pagi semoga rupiah turun level dollar hari pray trust wni mimpibasahwn,12
"@tanyakanrl Aku menyadari kita lebih dekat menjadi miskin dibanding kaya. Sampe aku udah berhenti makan di kafe rutin semenjak Presiden ini naik. Padahal dulu tiap minggu bisa dua kali ke kafe. Semua harga naik, bahkan plastik yang 1000 aja skrg 2000. Dan kalian masih bilang MBG bagus 😭",menyadar miskin dibanding kaya berhent makan kafe rutin semenjak presiden naik minggu bisa kafe harga naik plastik masih bilang mbg bagus sedih,22
"Setiap rupiah PNBP  dari fidusia harus tercatat dengan benar. Kemenkum Jabar melakukan audit pelaporan untuk memastikan kepatuhan pembayaran biaya pendaftaran demi transparansi keuangan negara yang lebih akuntabel.

Kemenkum Jabar - Asep Sutandar.",rupiah pnbp fidusia harus tercatat kemenkum jabar audit pelapor kepatuh pembayar biaya pendaftar transparans keuangan negara akuntabel kemenkum jabar asep sutandar,21
"@LambeSahamjja Bank tahu ini... Tapi selama valuasi naik, ah okey lah.. semua diam.

Yang kedua kelewat: Transfer Pricing Gray Zone.

Thread lu bilang captive market itu ""efisien kalau harga wajar dan tata kelola rapi.""

Betul.... Tapi siapa yang verifikasi ""wajar""?",bank valuas naik okey diam kelewat transfer pricing gray zone thread bilang captive market efisien harga wajar tata kelola rapi verifikas wajar,22
"Harga² bahan pada naik, gaji kalian apa ikut naik?",harga bahan naik gaji naik,5
"@indepenSumatera Program keluar negeri bang,,MBG yg banyak murid keracunan, dolar AS yg naik tajam, investor yg lari dan PHK massal",program negeri mbg murid keracun dolar naik tajam investor lari phk massal,12
Semua harga naik kecuali harga diri.,harga naik kecual harga,4
@kiwalipitu Pak Habibie emang standar teknokrat sejati. Di tengah krisis hebat pun beliau bisa bikin Rupiah perkasa. Warisan prestasinya tetap jadi pengingat kalau ekonomi kita sebenarnya bisa kuat kalau dikelola dengan cerdas. 🧠✨,habibie standar teknokrat sejat krisis hebat beliau bisa bikin rupiah perkasa waris prestasinya pengingat ekonomi bisa kuat dikelola cerdas,19
"@yaniarsim @lapor_resPati Bapak duduk santai, pasang Bounty Hunter gausah banyak², minimal 1jt rupiah bapak-bapak duduk renang biar netizen yang kerja / menangkap dah!",duduk santai pasang bounty hunter gausah minimal jutaan rupiah duduk renang biar netizen kerja menangkap sudah,16
"Di pendopo ini, kita sambung lagi titik-titiknya.

Gubernur BI bilang: fundamental ekonomi kita solid, Rupiah hanya melemah sementara.

Tapi pasar bicara lain. Mari kita audit nalar secara jernih:

1) Paradoks Solid vs Goyah

Kalau fundamental benar-benar kokoh, seharusnya Rupiah tidak langsung “demam” setiap kali Fed sinyal naik suku bunga atau Timur Tengah memanas. Cadangan devisa bagus di kertas, tapi struktur ekonomi riil kita masih sangat bergantung pada dolar dan impor energi.

2) Dari Laut Merah ke Dapur Rumah

Kemarin kita sudah bahas: konflik Selat Hormuz & Laut Merah bikin harga minyak mentah naik. Hari ini BI sendiri mengakui itu salah satu penyebab Rupiah goyah. Artinya, harga MinyaKita di warung bukan soal nasib, tapi langsung terhubung dengan geopolitik dunia.

3) Titik Buta Musim Haji & Hot Money

Musim haji tahunan dan dana asing yang keluar masuk. Pertanyaan kritis: kenapa sistem kita masih sangat rentan terhadap peristiwa yang bisa diprediksi? Ini menunjukkan kita masih bergantung pada “hot money” yang bisa kabur kapan saja.

Piweling pagi ini🍵

Jangan hanya menunggu “rebound”. Selama kedaulatan energi dan keuangan kita masih diatur oleh cuaca geopolitik dan kebijakan Fed, “solid” itu baru di atas kertas.

Perang di sana → minyak naik → Rupiah turun → harga sembako naik. Sama persis seperti yang sudah kita lihat.

Ini hanya sementara… atau gejala yang lebih dalam?

Hubungkan titik-titiknya. 

Apa yang sudah kalian rasakan di dapur masing-masing?

#MasWibiX #Rupiah #Geopolitik #EkonomiRakyat #ConnectingTheDots 🧠",pendopo sambung titik titiknya gubernur bi bilang fundamental ekonomi solid rupiah melemah pasar bicara mari audit nalar jernih paradoks solid goyah fundamental kokoh rupiah langsung_negated demam fed sinyal naik suku bunga timur memanas cadang devisa bagus kertas struktur ekonomi riil masih bergantung dolar impor energ laut merah dapur rumah kemarin sudah bahas konflik selat hormuz laut merah bikin harga minyak mentah naik hari bi mengakui salah penyebab rupiah goyah harga minyakita warung bukan nasib langsung terhubung geopolitik dunia titik buta musim haji hot money musim haji tahun dana asing masuk kritis sistem masih rentan peristiwa bisa diprediks masih bergantung hot money bisa kabur piweling pagi jangan menunggu rebound kedaulat energ keuangan masih diatur cuaca geopolitik kebijakan fed solid kertas perang minyak naik rupiah turun harga sembako naik persis sudah lihat gejala hubung titik titiknya sudah rasa dapur maswibix rupiah geopolitik ekonomirakyat connectingthedots,142
@ARSIPAJA Dollar naik atas rupiah..itu indikator ekonomi bagus atau buruk?,dollar naik rupiah indikator ekonomi bagus buruk,7
"@liaasister Postingan pemancing engagement
Biasa biar cuan elon masuk😂
Sederhana tapi liat jam nya
Sederhana tapi gak tau kita kan harga baju nya berapa?
Sederhana tapi ke tempat wisudanya naik apa dulu?
Sederhana tapi udah punya segalanya
Gk usah diiniin kali duls
Foto pun cuman crop😌",posting pemancing engagement biar cuan elon masuk tertawa sederhana liat jam sederhana tidak harga baju sederhana wisudanya naik sederhana punya diiniin duls foto cuman crop,25
"@taufik_q Tidak mampu kerja ganti orangnya Cari yang pintar,cerdas mampu, Pak Habibie tehnokrat ketika jadi Presiden 🇮🇩 dolar US 17.800 bisa diturunkan jadi 6.300 rupiah kuat bernilai sehingga tidak disukai USA,World bank,IMF berikut kakitangan  laporan pertanggungan jawab ditolak DPR/MPR.",tidak kerja ganti orangnya cari pintar cerdas habibie tehnokrat presiden indonesia dolar bisa diturun rupiah kuat bernilai disukai_negated usa world bank imf kakitang lapor pertanggung ditolak dpr mpr,28
@sebutsajakucing @G3nX_files Mana mau india dibayar pakai nata uang rupiah  ? Mata uang lemah yang tidak laku di pasaran,india dibayar nata uang rupiah mata uang lemah laku_negated pasar,10
"Rupiah mendekati 20k
Itu gubernur laundry dibayarin apbn
Mbg gk ada libur
Katanya efisiensi tapi ....",rupiah mendekat 20k gubernur laundry dibayarin apbn mbg libur efisiens,10
"@BenkTob @dimarsasongko98 @G3nX_files Mau bicara realita   ?
Realitanya ya tiap dollar naik auto harga kedelai naik saat itu juga",bicara realita realitanya dollar naik auto harga kedelai naik,9
@dollsweetache naik njir. isi botolnya juga ga full. harga naik tapi isi di kurangin,naik njir isi botolnya full_negated harga naik isi kurangin,9
"@prastow Ketergantungan pd impor komoditas tertentu yg harga nya sedang meroket Krn supply terancam terhenti, gangguan distribusi, demand naik, utang valas khususnya USD, industri melambat, ancaman hiper inflasi, defisit APBN semakin lebar, sdh hampir 1% di quartal 1 2026, belanja &gt;50%",ketergantung impor komoditas harga meroket supply terancam terhent ganggu distribus demand naik utang valas dolar industr melambat ancam hiper inflasi defisit apbn lebar sdh quartal belanja,26
"Sambil nyruput kopi susu anget, sama sarapan roti sisa kemaren hasil jagong kemaren nya, baca berita dengan rincian laundry satu kemeja seharga seratus ribu rupiah.",nyruput kopi susu anget sarap roti sisa kemaren hasil jagong kemaren baca berita rinci laundry kemeja seharga seratus ribu rupiah,20
"Harga Minyak Anjlok, Perang Mereda: Badai IHSG-Rupiah Sudah Berlalu? https://t.co/KD5UQwXGFv",harga minyak anjlok perang mereda badai ihsg rupiah sudah,9
"Pemerintah tidak perlu bayar buzzer milyaran rupiah (APBN) kalau benar2 bisa mensejahterakan rakyat, rakyat sndr yg akan jd buzzer tanpa dibayar, bayar buzzer hanya untuk menutupi kegagalan pemerintah.
Memalukan.!

Let's your success b your noise

tni kita
sulit bukan halangan https://t.co/P6M5TtMklz",pemerintah perlu_negated bayar buzzer milyar rupiah apbn benar2 bisa mensejahtera rakyat sndr buzzer dibayar_negated bayar buzzer menutup kegagal pemerintah memalu let your success your noise tni sulit halangan_negated,28
"@asmaralokni wajarlah nilai rupiah melemah, wkwkwk",wajarlah nilai rupiah melemah tertawa,5
"@G3nX_files Eh, tolol itu gratis tapi jangan di monopoli,
Anda tahu  ? Setiap rupiah melemah terhadap dollar harga kedelai naik dan itu menyusahkan para perajin tempe &amp; tahu 
Mata uang itu bukan hanya alat bayar tapi itu juga harga diri,mata uang rupiah melemah terhadap semua mata uang asing",tolol gratis jangan monopol rupiah melemah dollar harga kedelai naik menyusah perajin tempe mata uang bukan alat bayar harga mata uang rupiah melemah mata uang asing,26
"@BangJarskii @ridiyoga1 @LambeSahamjja Salah satunya itu redenominasi, tapi tau respon mayoritas bilang apa? ""Nanti redenominasi, harga barang naik semua, redenominasi = inflasi"" padahal redenominasi itu di tahap awal memang ada inflasi sementara.",salah satunya redenominas respon mayoritas bilang redenominas harga barang naik redenominas inflasi redenominas tahap inflasi,15
"Indonesia juga impor hampir 95% gandum, otomatis harga tepung, mie, dll juga naik. Tepung, tempe, tahu, dll itu banyak diakses oleh masyarakat berpenghasilan rendah, hanya itu yang mampu mereka beli. Tapi mirisnya, kebanyakan dari mereka yang justru tidak peduli.",indonesia impor gandum otomatis harga tepung mie naik tepung tempe diakses masyarakat berpenghasil rendah beli mirisnya kebanya peduli_negated,18
"Nilai tukar rupiah saat ini adalah yang terlemah sepanjang sejarah, tapi saya heran kenapa para pengambil kebijakan kok tenang-tenang saja. Masyarakat juga keliatannya ga banyak yang merasa resah. Atau mungkin udah males sama kondisi negara?",nilai tukar rupiah terlemah sejarah heran pengambil kebijakan tenang masyarakat keliatannya tidak resah males kondisi negara,16
"Selamatkan Rupiah, Purbaya Bakal Siapkan Dana Stabilisasi Obligasi https://t.co/RzFEQIOXhk",selamat rupiah purbaya siap dana stabilisas obligas,7
Mak gue pulang dari pasar agak misuh karna harga buah naik lagi🥲 buah makin mahal aja ya Allah mo nangis aja lah😭 Indonesia oh Indonesia😭,mak pulang pasar misuh karna harga buah naik buah mahal allah nangis sedih indonesia sedih,15
Kasih paham om benux untk pemngat pngmat goblok yg slalu menggoreng dolar naik 🤣🤣 https://t.co/5K7A08FuNr,kasih paham benux untk pemngat pngmat goblok slalu menggoreng dolar naik,11
"@KapudS640 Nah.... bayangkan kalau program2 ini dibatalkan karena alasan 'sekedar' defisit anggaran, dolar naik, krisis ekonomi, sementara pemodal sudah habis2 an bangung dapur MBG. Bisa gagal 2029",bayang program2 dibatal alasan sekedar defisit anggar dolar naik krisis ekonomi pemodal sudah habis2 bangung dapur mbg bisa gagal,19
"@Hasbil_Lbs Itu bukan mendramatisir, anda lihat Aja kenyataan dilapangan, biaya hidup Naik, harga barang Dan transport Naik, utang negara bertambah, Lapangan Kerja sulit, Rupiah anjlok. Mungkin bagi anda Itu biasa",mendramatisir_negated lihat kenyataan dilapang biaya hidup naik harga barang transport naik utang negara bertambah lapang kerja sulit rupiah anjlok,19
"Assalamu'alaikum
Selamat pagi guys
Yuuu di gas lagi wlpn harga bawang merah Brebes lagi naik daun. Usaha tetap hari jalan
Dan Biarkan Tuhan yg mendatangkan pembelinya
#bawanggorengbrebes
#oleholehaslibrebes
#homemade https://t.co/zof41o9kgz",assalamu alaikum selamat pagi guys yuuu gas wlpn harga bawang merah brebes naik daun usaha hari jalan biark tuhan pembelinya bawanggorengbrebes oleholehaslibrebes homemade,23
"sebenernya ini lagi untung bgt sih kalo lu udah beli saham LN jauh hari, soalnya rupiah kan nilainya lagi turun",sebenernya untung beli saham hari rupiah nilainya turun,8
"Harga bahan pokok naik, kebutuhan rumah tangga naik tapi gaji stuck umr yang 5 juta itu? 😅😅😅 Daripada bikin mbg better kasih beasiswa orang middle class dah @prabowo 🙏🏻🙏🏻",harga bahan pokok naik kebutuhan rumah tangga naik gaji stuck umr juta bikin mbg better kasih beasiswa orang middle class sudah prabowo,22
"Alhamdulillah.

Harga emas naik RM2 hari ini menjadikan harga emas semasa adalah RM645 per gram.

Tahniah kepada yang sempat beli emas sebelum harga emas naik tengah malam tadi.

Kepada yang berminat nak mulakan simpanan emas, boleh WhatsApp saya untuk s… https://t.co/59N0qiH5vF",alhamdulillah harga emas naik rm2 hari menjadi harga emas rm645 gram tahniah beli emas harga emas naik malam berminat nak mula simpan emas whatsapp,24
"@Kanseulir @dew1purwan12721 Omongan iblis. Cuma makan tahu-tempe aja, menghabiskan anggaran triliunan rupiah. Otak mana otak?",omong iblis makan tempe menghabis anggar triliun rupiah otak,9
"Harga emas hari ni RM645 segram.

Dan macam biasa, bila harga naik… ramai mula rasa serba salah.

Nak beli rasa mahal.
Tak beli takut naik lagi.

Akhirnya, kita jadi penonton je.

Tengok harga bergerak setiap hari tanpa buat apa-apa. https://t.co/nPLTr94lPy",harga emas hari rm645 segram harga naik ramai serba salah nak beli mahal beli takut naik penonton tengok harga bergerak hari,21
"Jadi riyal inikah life after graduation yg orang"" rasakan itu bjir?? Iya aku paham aku gk dari keluarga kaya, so harus cari uang, tapi gk gini jg kocakkk 😭😭 mls bgt mls 😔😔😔😔😔😔😔😔😔😔😔 rupiah makin turun, kewarasan gua jg makin turun nih kocak dah 😔👎",riyal life after graduation orang rasa bjir paham keluarga kaya harus cari uang kocakkk sedih mls sedih rupiah turun kewaras turun kocak sudah sedih,24
"fakta harga naik betul, penyebabnya apa lu sengaja ga edukasi mereka

itulah jahatnya elu",fakta harga naik penyebabnya sengaja edukasi_negated jahatnya elu,8
@ekowboy2 memangnya setiap Musim Haji taun-tahun sebelumnya berimbas pada KURS Rupiah - USD ??????  🤣🤣🤣🤣 ...cari alesan aja...,memangnya musim haji taun tahun berimbas kurs rupiah dolar cari alesan,11
"Rupiah Tembus Rp17.300, Mirae Asset Soroti Risiko Melesetnya Asumsi APBN https://t.co/GVl6vFXVnl",rupiah tembus rupiah mirae asset sorot risiko melesetnya asums apbn,10
man even harga lensa di tempat kerja gue naik semua whatthehelly,man even harga lensa kerja naik whatthehelly,7
"Gw tiap hari pas liatin faktur dan dengerin info dari sales kalo harga bahan pokok dan produk naik, cuma bisa menghela nafas sambil garuk kepala jir. Kek aduh anjr ini semua salah wowok.",hari pas liatin faktur dengerin info sales harga bahan pokok produk naik bisa menghela nafas garuk kepala jir aduh anjr salah wowok,22
@MadaniNomics Pengguna diesel yg dpt subsidi diesel bersasar secara tunai setiap bulan sebanyak rm300/400 pon mereka tak pernah kata susbsidi tu membantu mereka. Asyik sembang diesel naik harga jaa seolah2 takda apa bantuan yg mereka dpat. So idea bagi duit cash ni sukar utk mileage politik,pengguna diesel dpt subsidi diesel bersasar tunai bulan rm300 pon pernah susbsid membantu asyik sembang diesel naik harga jaa seolahtriliunanakda bantu dpat idea duit cash sukar utk mileage politik,29
"@tanyakanrl Kalo yang gak peduli itu kelas menengah, bisa jadi dia:
- Gak pernah belanja (alias yg belanja orang lain)
- Manajemen keuangannya super jelek. Boro2 berhitung, tau harga aj gak.

Dua ini. Tau2 nyalahin diri boros tanpa tau kalo emang di luar sana emang harga barang naik.",peduli_negated kelas menengah bisa pernah_negated belanja alias belanja orang manajemen keuangannya super jelek boro2 berhitung harga tidak tau2 nyalahin boros harga barang naik,23
"@kumparan per April-Mei 2026, tiga mata uang terlemah di ASEAN ditempati oleh Kip Laos (LAK), Rupiah Indonesia (IDR), dan Peso Filipina (PHP),j yang sering mengalami pelemahan signifikan dibandingkan mata uang regional lainnya.

Masih ngomong ekonomi sehat?",april mei mata uang terlemah asean ditempat kip laos lak rupiah indonesia rupiah peso filipina php mengalam pelemah signifi dibanding mata uang regional masih ngomong ekonomi sehat,27
"Lgi di mobil ada obrolan nyawit bgt

*lagi ngomongin next pengen ke Bangka gtu*
Ella (adek gw) : emang di Bangka bayarnya pake rupiah?

😭😭😭😭😭😭😭",lgi mobil obrol nyawit ngomongin next pengen bangka gtu ella adek bangka bayarnya pake rupiah sedih,16
Loh perasaan harga telur naik 👀,perasa harga telur naik,4
"@ridiyoga1 @BangJarskii @LambeSahamjja Sebenarnya menurut ku pemerintah sudah bikin kebijakan yang bener, tapi masyarakat sudah terlanjur gak suka aja sama pemerintah. Kebijakan yang paling bagus kemarin BI harus intevensi nilai rupiah itu kebijakan bagus banget tapi masih gk tau nih respon masyarakat gimana 😌",pemerintah sudah bikin kebijakan bener masyarakat sudah terlanjur suka_negated pemerintah kebijakan bagus kemarin bi harus intevens nilai rupiah kebijakan bagus masih respon masyarakat,23
"bukan musik haji, tapi MUSIM KORUPSI YANG KALIAN BUDIDAYAKAN YANG BUAT RUPIAH ANJLOK BLOG",musik_negated haji musim korups budidaya rupiah anjlok blog,8
"@delistedlust @1998ur_ mjb bener. sbg orang yg kerjanya berurusan sm costing usd ini gila bgt seanjlok itu rupiah udah gaada harga dirinya, bisa2nya tembus 17.400 and yes, its a wilddd",mjb bener sbg orang kerjanya berurus costing dolar gila seanjlok rupiah gaada harga bisa2nya tembus yes its wilddd,18
"In short, those predatory western capitalists &amp; imperialists want to screw Indonesian economy, make it can not pay its debt &amp; defaulted/bankrupt! And with the Rupiah plunged hard, they can own all Indonesian assets dirt cheap. Similar like in Weimar Germany. This is really bad!",short those predatory western capitalists imperialists want screw indonesi economy make can not pay its debt defaulted bankrupt rupiah plunged hard they can own all indonesi assets dirt cheap similar like weimar germany this really bad,36
"@ikhwanuddin Ini real, emak² dikampung sy juga komplen MBG ini pemborosan dn bikin harga sembako pd naik.
Bahkan ibu kantin yg jualan bilang klo menu MBG tuh jarang dimakan para siswa (anak SMA), mereka paling ambil buah²an dan susu aja, nasi dn lauk dibuang, itu sebabnya dia ttp jualan.",real emak dikampung komplen mbg pemboros bikin harga sembako naik kantin jualan bilang menu mbg jarang dima siswa anak sma ambil buah susu nasi lauk dibuang ttp jualan,28
"@sibambaang gue bahkan udh yakin dr rupiah tembus 17k, kita bakal ngerasain inflasi lagi.",sudah rupiah tembus 17k ngerasain inflasi,6
"Usahanya cuman nuker2 dollar doang ke rupiah dengan dollar yg ada

""pelemahan rupiah hanya sementara"" bisa jadi sebaliknya. ""PENGUATAN RUPIAH HANYA SEMENTARA""

🤪",usahanya cuman nuker2 dollar rupiah dollar pelemah rupiah bisa rupiah,10
"@TradingDiary2 Yg jelas ada yg mau exit tapi bingung siapa yang mau makan di harga premium. Ojol adalah justifkasi. Mana ada cerita negara ngurusin rakyat nya. Tax bakal digeber, bpjs naik, bbm naik. Story nya tetap sama rakyat kita bodoh gak bakal melawan.",exit bingung makan harga premium ojol justifkas cerita negara ngurusin rakyat tax digeber bpjs naik bahan_bakar_minyak naik story rakyat bodoh tidak melaw,22
Bayaran 16 juta rupiah mah ga sebanding,bayar juta rupiah mah sebanding_negated,5
"@mhuseinali imigrasi trump kek tai dan fifa tolol pasang harga tiket ga ngotak

mereka ga sadar kali ya? biasanya mayoritas penonton pildun itu kaya tapi ga raya, dan sebagiannya lagi kelas menengah yg nguras tabungan

harga tiket naik gila²an bikin males anjir",imigras trump tai fifa tolol pasang harga tiket ngotak_negated sadar_negated mayoritas penonton pildun kaya raya_negated sebagiannya kelas menengah nguras tabung harga tiket naik gila bikin males anjir,27
"@caramelegy @wkwkwkpostt @unmagnetism Pas itu sy pilih bayar pake qris sih, apa krn itu ya(?) 
Jujur baru tau pas itu jg
Mau cancel saldo 0 tapi ada biaya cancel sekian ribu rupiah gitu",pas pilih bayar pake qris jujur pas cancel saldo biaya cancel sekian ribu rupiah,14
"Harga BBM Nonsubsidi Naik, Menteri Maman Abdurrahman Pastikan UMKM Tak Terdampak
#bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #GolkarSolid
https://t.co/c3OQNrHuNe",harga bahan_bakar_minyak nonsubsid naik menteri maman abdurrahm pasti umkm terdampak bahlillahadalia kuningkeren golkarindonesia partaigolkar golkarsolid,15
"Pertumbuhan ekonomi yang dirasakan HANYA yang berkuasa dan orang orang yang terkait sama bgm mbg awokawokkkk wong cilik paceklik gini kok pertumbuhan ekonomi. Rupiah anjlok gini kok pertumbuhan ekonomi 
#dibayarpakepajakmasyarakat",pertumbuhan ekonomi dirasa berkuasa orang terkait bgm mbg awokawokkkk cilik paceklik pertumbuhan ekonomi rupiah anjlok pertumbuhan ekonomi dibayarpakepajakmasyarakat,18
"First, this is from a media founded by CIA Agents involved in 1965 Coup &amp; Genocide. Second, it provides ""cover"" for the selling of Indonesian Bonds (Capital Flight) causing Rupiah to depreciate. When actually this isn't the real reason, Capitalist West preys on Indonesian Assets. https://t.co/sGKvJhUpiK",first this from media founded cia agents involved coup genocide second provides cover selling indonesi bonds capital flight causing rupiah depreciate when actually this isn triliun real reason capitalist west preys indonesi assets,33
selamat pagi harga diri Rupiah https://t.co/o9rsKSdhlc,selamat pagi harga rupiah,4
"Gajian kena pajak, setiap belanja bayar pajak, langganan layanan streaming kalian itu kena pajak 11% gaes!

Setiap rupiah gaji pejabat dan mbg bs jd ada uang pajak kita disana 🙏",gajian kena pajak belanja bayar pajak langgan layan streaming kena pajak gaes rupiah gaji pejabat mbg uang pajak disana,19
"ntah knfh gua sbg anak kos jg mrasakan smw harga naik
msa katsugi jd 49k anjg?",ntah knfh sbg anak kos mrasa smw harga naik msa katsug 49k anjg,13
"@Hidupsebagai62 Tapi setidaknya dengan cadangan devisa indo yg besar itu, seharusnya bisa dipake buat buyback rupiah, sehingga value rupiah paling gk pegged/stuck di 16 ribuan, kyk yg dilakuin china &amp; thailand pas covid kemarin, dan juga seharusnya bi juga naikin suku bunga supaya investor balik",cadang devisa indo bisa dipake buyback rupiah value rupiah pegged stuck ribuan kyk dilakuin china thailand pas covid kemarin bi naikin suku bunga investor,24
@KapudS640 Pernah ada sepasang anak muda lg sepedaan sore hari masuk ke proyek perumahan. Iseng2 diajak ngobrol sama marketing developer. Ternyata minat beli rumah dan langsung DP besoknya. Belinya juga cash seharga sekian rupiah… 😅😅,pernah sepasang anak muda sepeda sore hari masuk proyek perumah iseng2 diajak ngobrol marketing developer minat beli rumah langsung besoknya belinya cash seharga sekian rupiah,25
"Pengawasan kepatuhan pelaporan akta bukan sekadar administrasi, melainkan instrumen untuk mengoptimalkan PNBP. Kemenkum Jabar berkomitmen penuh mengawal setiap rupiah negara demi pembangunan hukum yang berkelanjutan di daerah.

Kemenkum Jabar -  Asep Sutandar.",pengawas kepatuh pelapor akta bukan administras instrumen mengoptimal pnbp kemenkum jabar berkomitmen penuh mengawal rupiah negara pembangun hukum berkelanjut daerah kemenkum jabar asep sutandar,24
"@gaysaebvt @billmanu03 @wkwkwkpostt Bukan karna cancel itu kali. Gw ada pernah 5 kali lebih cancel dalam sehari. Dalam waktu dekat. Aman aja tuh akun. Cmn harga naek aja emg. Itu bukan ke ban kali, notif harga naik.",karna_negated cancel pernah cancel sehar aman akun cmn harga naek bukan ban notif harga naik,15
"@Franken_blues Si tukang kayu kerahkan ribuan termul, trilyunan rupiah, ribuan ternak penyembah... dan segudang cara² licik lainnya demi untuk menyembunyikan selembar ijazah palsunya.

Dahsyat ini sih.",tukang kayu kerah ribuan termul trilyun rupiah ribuan ternak penyembah segudang licik menyembunyi selembar ijazah palsunya dahsyat,17
"Bahasanya agak rancu sama biosolar.
Biodiesel=FAME=B100.

Harganya naik 600an Rupiah per liter, lumayan banyak. Walau msh 1/2 dr harga DEX yg hampir 30rb.

Kenapa gk langsung jual B100 aja yah?
Harga dasar base fuel nya edan jg ternyata naiknya gara2 perang Iran. https://t.co/HiEYjSaRpz",bahasanya rancu biosolar biodiesel fame b100 harganya naik 600an rupiah liter lumay msh harga dex ribuan langsung jual b100 harga dasar base fuel edan naiknya gara2 perang iran,28
"beli bensin harga naik, beli pukis pun harga naik. Terus gue beli apa woy",beli bensin harga naik beli pukis harga naik beli woy,10
"@rizukosmile @KTokek76042 lu paham konsep rasisme ga sih, jadiin ras orang bercandaan atau mengejek sesuatu tuh RASIS. mau itu ngejeknya ke diri dia sendiri pun sama aja, idol lu RASIS. ngapain sih bela idol kayak bela negara, mending lu speak up soal rupiah melemah noh",paham konsep rasisme tidak jadiin ras orang bercanda mengejek rasis ngejeknya idol rasis ngapain bela idol bela negara mending speak rupiah melemah noh,23
"@ekowboy2 bangsat satu orang ini emang, enaknya nyalahin yg laij lain. apapun itu alasannya anda jelas tidak mampu memposisikan penguatan rupiah cuk",bangsat orang enaknya nyalahin laij apapun alasannya tidak memposisi rupiah cuk,11
"Pak, masyarakat saat ini tidak peduli dengan ranking2an pertumbuhan ekonomi seperti ini. Sekarang masyarakat melihat nilai rupiah terus terpuruk, harga BBM melambung, uang rakyat di MBG dan KDMP dikorupsi secara ugal2an.",masyarakat peduli_negated ranking2 pertumbuhan ekonomi masyarakat nilai rupiah terpuruk harga bahan_bakar_minyak melambung uang rakyat mbg kdmp dikorups ugal2,18
"@nakalbynight @BigAlphaID Betul kak.
Cek deh twit dia saat APBN defisit dan Rupiah melemah.
Blaming ke subsidi BBM terus tapi tone deaf soal MBG-KDMP.

Fixed buzzerp berkedok media independen.",cek sudah twit apbn defisit rupiah melemah blaming subsidi bahan_bakar_minyak tone deaf mbg kdmp fixed buzzerp berkedok media independen,19
"Update market hari ini

- AS IRAN perang2  mulai mereda
- IRAN setuju gak  punya senjata nuklir
- harga minyak turun brent  102
-  market us dan asia kompak naik
- Rupiah 17.400 menguat terbatas
- support IHSG 6900, menuju area resisten terdekat 7300

Banyak berita positif,
Prakiraan IHSG di tutup menguat hari ini

Enak buat trading
Lets go.. 🚀

Disclaimer on",update market hari iran perangmilyaranulai mereda iran setuju punya_negated senjata nuklir harga minyak turun brent market asia kompak naik rupiah menguat terbatas support ihsg area resisten terdekat berita positif prakira ihsg tutup menguat hari enak trading lets disclaimer,38
"@BigAlphaID Oalah pantes.
Akun ini selalu demonisasi subsidi BBM dan jarang kritik MBG-KDMP especially saat Rupiah melemah.
Buzzerp divisi soft selling toh.

https://t.co/UYgChY62n1",oalah pantes akun demonisas subsidi bahan_bakar_minyak jarang kritik mbg kdmp especially rupiah melemah buzzerp divis soft selling,17
@tempodotco musim haji tiap tahun tp longsornya skrg.. knp tahun2 kmrn rupiah ga longsor meski haji tetep ada ?,tempodotco musim haji tahun longsornya tahun2 kmrn rupiah longsor_negated haji tetep,11
"Selain dunia ga berputar di diri lo, lo juga bukan manusia yg punya solusi bisa nurunin dolar di Indonesia yg lagi naik²nya, jadi stop jadi manusia yg kalo lgi badmood morang maringnya ke orang lain",dunia berputar_negated manusia_negated punya solus bisa nurunin dolar indonesia naik stop manusia lgi badmood morang maringnya orang,17
"Ganti FOTO dokumen lain bisa gak mas? https://t.co/wZAFNs2fjY

Polrestabes Surabaya bongkar sindikat joki SNBT 2026. Sindikat ini telah meraup ratusan juta rupiah dari ratusan calon mahasiswa. https://t.co/uD1hMiP5hv",ganti foto dokumen bisa tidak polrestabes surabaya bongkar sindikat joki snbt sindikat meraup ratus juta rupiah ratus calon mahasiswa,19
