raw_text,hasil_preprocessing,text_length
"@lintangbanyu_ bulekku lek mari tekan mlijo yo ngunu mbaa, permasalahan semua ibu ibu deh kyok e lek harga bahan pokok naik iki 😅",bulekku lek mari tekan mlijo ngunu mbaa permasalah sudah kyok lek harga bahan pokok naik iki,16
"AUGHHEGEH JUJUR #MINAT BGT,,,, but they're based in the us n rupiah lagi melemah2nya,,,,,,, INI SEMUA SALAH PEMERINTAH SAMPE GW GK BISA PELUK ROCKY ‼️‼️‼️‼️‼️‼️‼️",aughhegeh jujur minat they based rupiah melemah2nya salah pemerintah bisa peluk rocky,12
"Secara berkala, tarif listrik memang dievaluasi setiap tiga bulan dengan mempertimbangkan parameter ekonomi makro seperti nilai tukar rupiah, Indonesian Crude Price (ICP), tingkat inflasi, dan Harga Batubara Acuan (HBA).

https://t.co/IeNIuC65p1",berkala tarif listrik dievaluas bulan mempertimbang parameter ekonomi makro nilai tukar rupiah indonesi crude price icp tingkat inflasi harga batubara acuan hba,22
"@LambeSahamjja Pas kumpul arisan asean paling sombong, dia pikir tetangganya tidak tahu kalau dia jadi presiden dengan curang, rupiah paling terpuruk di asean, proyek flagship-nya sudah meracuni puluhan ribu anak bangsa, banyak ke luar negeri menghasilkan bop-pro zionis.",pas kumpul arisan asean sombong pikir tetangganya tidak presiden curang rupiah terpuruk asean proyek flagship sudah meracun puluh ribu anak bangsa negeri menghasil bop pro zionis,26
@Eveeetzy capee cuy mana harga welkin di toko langgananku jg naik😔😔😭😭😭,capee cuy harga welkin toko langgananku naik sedih,8
Harga motor bebek Mei 2026 terpantau stabil usai naik bulan lalu. Suzuki jadi merek yang paling lama belum ubah harga. https://t.co/CsJ6bYl5zr,harga motor bebek mei terpantau stabil naik bulan suzuk merek ubah_negated harga,12
"@akuntwiter968 Yang sekrangpun bgtu...,
apapun rupiah nilai brapa, hutang ngara  nambah berapa pokoknya Mbg di dahulukan......,
😆😆😆😆",sekrangpun apapun rupiah nilai brapa hutang ngara nambah pokoknya mbg dahulu,11
BONGKAR RENCANA GILA DI BALIK RUPIAH ANJLOK! (JANGAN MAU DIBODOHIN) https://t.co/EPXkdOc3Yr,bongkar rencana gila rupiah anjlok jangan dibodohin,7
@pantungalimar Teman gw kaya naik kapal pesiar tapi gak suka beli barang2 tetek bengek teman gw wni gaji rupiah pas2an maksain beli tetek bengek buat scammer pula wkwkw sukurin sih,teman kaya naik kapal pesiar suka_negated beli barangtriliunanetek bengek teman wni gaji rupiah pas2an maksain beli tetek bengek scammer tertawa sukurin,21
"@LambeSahamjja Terlihat @prabowo seperti presiden udik dimata negara ASEAN, maunya berpenampilan mewah padahal seluruh dunia tahu negaranya sedang tidak baik² saja (rupiah jeblok), rakyat banyak yg miskin.
Makanya ketemu Trump hanya disuruh bawa map, karena tidak di hormati.",prabowo presiden udik dimata negara asean maunya berpenampil mewah dunia negaranya tidak rupiah jeblok rakyat miskin ketemu trump disuruh bawa map tidak hormat,23
"@tijabar ""Bagus ada kunjungan langsung dan infrastruktur pendukung. Yang terpenting sekarang adalah sustainability-nya: apakah nelayan benar-benar bisa akses fasilitas ini dengan mudah dan harga jual hasil tangkapan naik? Semoga berhasil.""",bagus kunjung langsung infrastruktur pendukung terpenting sustainability nelay bisa akses fasilitas mudah harga jual hasil tangkap naik semoga berhasil,19
Petani Lebak Ramai-ramai Jual Biji Cokelat Usai Harga Naik Jadi Rp40.000/Kg https://t.co/TzdRmg3Y7T,petan lebak ramai jual biji cokelat harga naik rupiah,9
@juukyunichi Yaa kaann emg rupiah aja yg bobrok 💔,kaann rupiah bobrok,3
@jpbeem busettttt sehat sehat pejuang rupiah😭 dirumahnya kapan,busett sehat pejuang rupiah sedih dirumahnya,6
"MALANGPOSCOMEDIA – Harga emas di laman Sahabat Pegadaian dikutip dari Jakarta, Minggu pukul 06.56 WIB, menunjukkan harga untuk UBS turun tipis jadi Rp2.891.000, Galeri24 naik ke Rp2.836.000, sementara Antam stabil di Rp2.953.000 per gram.
https://t.co/p48fIH1G0p https://t.co/9abOc3WfkE",malangposcomedia harga emas laman sahabat pegadai dikutip jakarta minggu wib harga ubs turun tipis rupiah galeri24 naik rupiah antam stabil rupiah gram,22
